,Date,rel_return_same_day
285,2/22/2010,-0.205521805
286,2/23/2010,-0.20493413
287,2/24/2010,-0.195881705
288,2/25/2010,-0.192576334
289,2/26/2010,-0.191649552
290,3/1/2010,-0.193135264
291,3/2/2010,-0.203622211
292,3/3/2010,-0.197868344
293,3/4/2010,-0.196611053
294,3/5/2010,-0.192074427
295,3/8/2010,-0.204163555
296,3/9/2010,-0.187251671
297,3/10/2010,-0.200321187
298,3/11/2010,-0.200268874
299,3/12/2010,-0.200041455
300,3/15/2010,-0.207757614
301,3/16/2010,-0.203877257
302,3/17/2010,-0.205799888
303,3/18/2010,-0.198274313
304,3/19/2010,-0.212987592
305,3/22/2010,-0.197448937
306,3/23/2010,-0.19885767
307,3/24/2010,-0.197051481
308,3/25/2010,-0.212148722
309,3/26/2010,-0.195216398
310,3/29/2010,-0.20709215
311,3/30/2010,-0.206111046
312,3/31/2010,-0.205988949
313,4/1/2010,-0.208821474
314,4/5/2010,-0.195572115
315,4/6/2010,-0.20368414
316,4/7/2010,-0.197531807
317,4/8/2010,-0.211099827
318,4/9/2010,-0.206340657
319,4/12/2010,-0.203963262
320,4/13/2010,-0.203515406
321,4/14/2010,-0.208715487
322,4/15/2010,-0.195817297
323,4/16/2010,-0.19778346
324,4/19/2010,-0.209180422
325,4/20/2010,-0.218717618
326,4/21/2010,-0.200785031
327,4/22/2010,-0.186837229
328,4/23/2010,-0.201303147
329,4/26/2010,-0.207710055
330,4/27/2010,-0.205275813
331,4/28/2010,-0.211168868
332,4/29/2010,-0.192097195
333,4/30/2010,-0.214843818
334,5/3/2010,-0.202897312
335,5/4/2010,-0.206809991
336,5/5/2010,-0.196473434
337,5/6/2010,-0.205063329
338,5/7/2010,-0.220077695
339,5/10/2010,-0.194531224
340,5/11/2010,-0.194520684
341,5/12/2010,-0.203190248
342,5/13/2010,-0.211011404
343,5/14/2010,-0.199621669
344,5/17/2010,-0.203750198
345,5/18/2010,-0.201056531
346,5/19/2010,-0.207623016
347,5/20/2010,-0.20416409
348,5/21/2010,-0.195810655
349,5/24/2010,-0.199693711
350,5/25/2010,-0.204969339
351,5/26/2010,-0.213497938
352,5/27/2010,-0.206665465
353,5/28/2010,-0.202541749
354,6/1/2010,-0.194402206
355,6/2/2010,-0.221965478
356,6/3/2010,-0.210604914
357,6/4/2010,-0.197706968
358,6/7/2010,-0.214108151
359,6/8/2010,-0.224001718
360,6/9/2010,-0.221532882
361,6/10/2010,-0.195184708
362,6/11/2010,-0.198105252
363,6/14/2010,-0.201924672
364,6/15/2010,-0.20380027
365,6/16/2010,-0.189173625
366,6/17/2010,-0.199258976
367,6/18/2010,-0.201752455
368,6/21/2010,-0.217385763
369,6/22/2010,-0.189456195
370,6/23/2010,-0.215243653
371,6/24/2010,-0.204311768
372,6/25/2010,-0.218561877
373,6/28/2010,-0.199993525
374,6/29/2010,-0.218262876
375,6/30/2010,-0.218484153
376,7/1/2010,-0.222955968
377,7/2/2010,-0.212035886
378,7/6/2010,-0.209368885
379,7/7/2010,-0.204866621
380,7/8/2010,-0.222175866
381,7/9/2010,-0.20549863
382,7/12/2010,-0.214700492
383,7/13/2010,-0.225352669
384,7/14/2010,-0.199609375
385,7/15/2010,-0.197997674
386,7/16/2010,-0.200210652
387,7/19/2010,-0.223137294
388,7/20/2010,-0.198207311
389,7/21/2010,-0.226208306
390,7/22/2010,-0.211790952
391,7/23/2010,-0.207468485
392,7/26/2010,-0.216754625
393,7/27/2010,-0.19355654
394,7/28/2010,-0.212438265
395,7/29/2010,-0.206916177
396,7/30/2010,-0.211496932
397,8/2/2010,-0.208912614
398,8/3/2010,-0.203128062
399,8/4/2010,-0.210427662
400,8/5/2010,-0.212065135
401,8/6/2010,-0.211404333
402,8/9/2010,-0.207435871
403,8/10/2010,-0.21156699
404,8/11/2010,-0.214338046
405,8/12/2010,-0.198678457
406,8/13/2010,-0.215935143
407,8/16/2010,-0.21262118
408,8/17/2010,-0.204688286
409,8/18/2010,-0.207342261
410,8/19/2010,-0.207311631
411,8/20/2010,-0.206746846
412,8/23/2010,-0.219967343
413,8/24/2010,-0.213590194
414,8/25/2010,-0.199174926
415,8/26/2010,-0.215531532
416,8/27/2010,-0.215376153
417,8/30/2010,-0.192413546
418,8/31/2010,-0.206616635
419,9/1/2010,-0.21138904
420,9/2/2010,-0.210340574
421,9/3/2010,-0.198869858
422,9/7/2010,-0.19885162
423,9/8/2010,-0.20218076
424,9/9/2010,-0.208475836
425,9/10/2010,-0.209660568
426,9/13/2010,-0.205114598
427,9/14/2010,-0.203319311
428,9/15/2010,-0.207071337
429,9/16/2010,-0.191500305
430,9/17/2010,-0.214744129
431,9/20/2010,-0.200987166
432,9/21/2010,-0.210019277
433,9/22/2010,-0.195245659
434,9/23/2010,-0.204923584
435,9/24/2010,-0.21873662
436,9/27/2010,-0.215510614
437,9/28/2010,-0.22693111
438,9/29/2010,-0.212216965
439,9/30/2010,-0.220059424
440,10/1/2010,-0.219397959
441,10/4/2010,-0.216014488
442,10/5/2010,-0.201215954
443,10/6/2010,-0.213137546
444,10/7/2010,-0.210889062
445,10/8/2010,-0.208946021
446,10/11/2010,-0.209849814
447,10/12/2010,-0.2086681
448,10/13/2010,-0.213875784
449,10/14/2010,-0.208008908
450,10/15/2010,-0.189294899
451,10/18/2010,-0.216736521
452,10/19/2010,-0.192995972
453,10/20/2010,-0.21432765
454,10/21/2010,-0.217360996
455,10/22/2010,-0.216325691
456,10/25/2010,-0.209699786
457,10/26/2010,-0.213082082
458,10/27/2010,-0.214783584
459,10/28/2010,-0.214561699
460,10/29/2010,-0.221780772
461,11/1/2010,-0.203257263
462,11/2/2010,-0.206255628
463,11/3/2010,-0.210144025
464,11/4/2010,-0.21130937
465,11/5/2010,-0.216545834
466,11/8/2010,-0.209422735
467,11/9/2010,-0.216460747
468,11/10/2010,-0.211892671
469,11/11/2010,-0.211695517
470,11/12/2010,-0.227893862
471,11/15/2010,-0.212014632
472,11/16/2010,-0.215192392
473,11/17/2010,-0.213878805
474,11/18/2010,-0.207624419
475,11/19/2010,-0.217698738
476,11/22/2010,-0.198166339
477,11/23/2010,-0.214230122
478,11/24/2010,-0.211523991
479,11/26/2010,-0.206418852
480,11/29/2010,-0.212942816
481,11/30/2010,-0.22135376
482,12/1/2010,-0.214450433
483,12/2/2010,-0.219203809
484,12/3/2010,-0.215728195
485,12/6/2010,-0.209085281
486,12/7/2010,-0.218587186
487,12/8/2010,-0.210504836
488,12/9/2010,-0.21645123
489,12/10/2010,-0.211896311
490,12/13/2010,-0.215466169
491,12/14/2010,-0.215004671
492,12/15/2010,-0.208933455
493,12/16/2010,-0.2156309
494,12/17/2010,-0.219972821
495,12/20/2010,-0.214364689
496,12/21/2010,-0.215701548
497,12/22/2010,-0.216044886
498,12/23/2010,-0.219231647
499,12/27/2010,-0.214922824
500,12/28/2010,-0.216726419
501,12/29/2010,-0.217966109
502,12/30/2010,-0.219990747
503,12/31/2010,-0.218419708
504,1/3/2011,-0.208766272
505,1/4/2011,-0.216662205
506,1/5/2011,-0.212116498
507,1/6/2011,-0.216581671
508,1/7/2011,-0.20849847
509,1/10/2011,-0.210224395
510,1/11/2011,-0.223407028
511,1/12/2011,-0.215695196
512,1/13/2011,-0.213332505
513,1/14/2011,-0.217013802
514,1/18/2011,-0.191753724
515,1/19/2011,-0.230607381
516,1/20/2011,-0.225567628
517,1/21/2011,-0.229612894
518,1/24/2011,-0.195808142
519,1/25/2011,-0.206812432
520,1/26/2011,-0.215160413
521,1/27/2011,-0.219149051
522,1/28/2011,-0.219979289
523,1/31/2011,-0.211641365
524,2/1/2011,-0.215295232
525,2/2/2011,-0.216940175
526,2/3/2011,-0.220038015
527,2/4/2011,-0.211507943
528,2/7/2011,-0.210297398
529,2/8/2011,-0.215584968
530,2/9/2011,-0.209907466
531,2/10/2011,-0.226586314
532,2/11/2011,-0.219223686
533,2/14/2011,-0.213218362
534,2/15/2011,-0.214494655
535,2/16/2011,-0.213340139
536,2/17/2011,-0.218426094
537,2/18/2011,-0.234825193
538,2/22/2011,-0.216622798
539,2/23/2011,-0.202777778
540,2/24/2011,-0.21899972
541,2/25/2011,-0.214596641
542,2/28/2011,-0.21366064
543,3/1/2011,-0.214155653
544,3/2/2011,-0.214030759
545,3/3/2011,-0.217228386
546,3/4/2011,-0.210931575
547,3/7/2011,-0.220818309
548,3/8/2011,-0.219797547
549,3/9/2011,-0.221421919
550,3/10/2011,-0.215255212
551,3/11/2011,-0.209046498
552,3/14/2011,-0.215622536
553,3/15/2011,-0.22060235
554,3/16/2011,-0.231776541
555,3/17/2011,-0.220286519
556,3/18/2011,-0.227978901
557,3/21/2011,-0.214174557
558,3/22/2011,-0.220007629
559,3/23/2011,-0.224094759
560,3/24/2011,-0.215379105
561,3/25/2011,-0.212073518
562,3/28/2011,-0.221935822
563,3/29/2011,-0.21800152
564,3/30/2011,-0.22525428
565,3/31/2011,-0.214590135
566,4/1/2011,-0.232559152
567,4/4/2011,-0.225580458
568,4/5/2011,-0.216507769
569,4/6/2011,-0.225495608
570,4/7/2011,-0.218954794
571,4/8/2011,-0.22457331
572,4/11/2011,-0.223960331
573,4/12/2011,-0.213491128
574,4/13/2011,-0.213215093
575,4/14/2011,-0.23010853
576,4/15/2011,-0.234564132
577,4/18/2011,-0.205549296
578,4/19/2011,-0.211656738
579,4/20/2011,-0.223279721
580,4/21/2011,-0.228890729
581,4/25/2011,-0.213310649
582,4/26/2011,-0.230803341
583,4/27/2011,-0.227670984
584,4/28/2011,-0.222137457
585,4/29/2011,-0.213514212
586,5/2/2011,-0.222393598
587,5/3/2011,-0.217699994
588,5/4/2011,-0.211677203
589,5/5/2011,-0.220458242
590,5/6/2011,-0.221990869
591,5/9/2011,-0.223146157
592,5/10/2011,-0.222269159
593,5/11/2011,-0.216393122
594,5/12/2011,-0.22426543
595,5/13/2011,-0.224778525
596,5/16/2011,-0.230939645
597,5/17/2011,-0.212609903
598,5/18/2011,-0.218179435
599,5/19/2011,-0.222338886
600,5/20/2011,-0.225318027
601,5/23/2011,-0.209494585
602,5/24/2011,-0.224324748
603,5/25/2011,-0.217428934
604,5/26/2011,-0.227423847
605,5/27/2011,-0.21423462
606,5/31/2011,-0.204861896
607,6/1/2011,-0.211536617
608,6/2/2011,-0.219034144
609,6/3/2011,-0.220520141
610,6/6/2011,-0.230578621
611,6/7/2011,-0.229245219
612,6/8/2011,-0.216342774
613,6/9/2011,-0.227396212
614,6/10/2011,-0.222935603
615,6/13/2011,-0.219766382
616,6/14/2011,-0.216459509
617,6/15/2011,-0.219166782
618,6/16/2011,-0.225112699
619,6/17/2011,-0.238717495
620,6/20/2011,-0.234863121
621,6/21/2011,-0.208921839
622,6/22/2011,-0.227159738
623,6/23/2011,-0.20058416
624,6/24/2011,-0.226304155
625,6/27/2011,-0.219255411
626,6/28/2011,-0.226581538
627,6/29/2011,-0.231038352
628,6/30/2011,-0.225992905
629,7/1/2011,-0.217289254
630,7/5/2011,-0.208962606
631,7/6/2011,-0.219895862
632,7/7/2011,-0.218960182
633,7/8/2011,-0.212696248
634,7/11/2011,-0.223884886
635,7/12/2011,-0.221146312
636,7/13/2011,-0.222545198
637,7/14/2011,-0.223025472
638,7/15/2011,-0.215459707
639,7/18/2011,-0.202696982
640,7/19/2011,-0.233816294
641,7/20/2011,-0.239019974
642,7/21/2011,-0.228962183
643,7/22/2011,-0.213735129
644,7/25/2011,-0.210269393
645,7/26/2011,-0.214314933
646,7/27/2011,-0.227257153
647,7/28/2011,-0.220680424
648,7/29/2011,-0.220195307
649,8/1/2011,-0.212964515
650,8/2/2011,-0.226371965
651,8/3/2011,-0.223338479
652,8/4/2011,-0.221323
653,8/5/2011,-0.226596506
654,8/8/2011,-0.21013759
655,8/9/2011,-0.219359677
656,8/10/2011,-0.21882609
657,8/11/2011,-0.243851352
658,8/12/2011,-0.223727687
659,8/15/2011,-0.224910628
660,8/16/2011,-0.22623891
661,8/17/2011,-0.223398016
662,8/18/2011,-0.220053827
663,8/19/2011,-0.23434272
664,8/22/2011,-0.224101183
665,8/23/2011,-0.217429903
666,8/24/2011,-0.230230379
667,8/25/2011,-0.188213266
668,8/26/2011,-0.212889639
669,8/29/2011,-0.231335828
670,8/30/2011,-0.225314022
671,8/31/2011,-0.23325627
672,9/1/2011,-0.224425429
